modelName,ExcludedBy
101899510,0;1;5;8;9;10;12
101901083,
101903418,0;1;5;12
101904531,0;1;3
101906942,
101907978,0;1
101908503,
101915172,0;1;2;5;12
101917771,0;18
101920525,0;1;2;5;12
101923169,
101929235,
101931447,
101933346,
101945079,0;16;18
101948799,
101953523,
101958458,
101959191,
101961296,
101968794,
101973547,0;1
101982688,
101992520,
102000100,0;1
102010087,
102012428,0;22
102015123,
102020340,
102025835,
102036129,0;1;3;4;5;8;10;12
102039718,
102040433,
102042154,0;1;5;12
102047379,0;8
102047645,0;22
102049333,
102053845,
102057585,0;22
102057829,
102058286,
102059160,
102076370,
102080104,
102081729,
102085006,
102094242,
102096328,0;1;5;16;18
102098013,0;1;5;12
102104852,0;1;4;5;6;8;9;11;18;19
102106354,0;1;4
102120664,
102120921,
102122257,
102127255,0;1;5;8;12
102135066,
102139172,
102143855,
102148464,0;1
102150231,0;5;16;18
102157752,
102158404,
102160087,0;1
102178405,
102179212,
102201777,0;21
102209513,
102210168,0;1;5
102212010,
102213151,0;1;3;5;8;12;18
102221130,
102222144,0;1;5;12
102229247,
102231689,0;1;5;12
102235467,
102235735,
102251560,
102252922,0;1;5
102253483,0;1;2;5;12
102253671,
102256340,0;1
102262878,0;1
102265621,0;1;5;12
102275662,
102283657,
102307417,0;1;5
102307495,
102314119,
102318504,0;21
102327119,
102327158,
102335369,
102342732,
102346092,0;1
102351931,0;1
102395189,0;1;5
102401711,
102402253,0;1;5;12
102407808,0;1;4
102410666,
102419924,
102425248,
102429938,
102433503,
102434977,
102435997,0;1;8;22
102441363,0;16
102442119,
102444253,0;1;2;5;8;12
102445609,
102446231,
102446234,0;1
102447096,0;1
102448724,0;1
102448997,0;1;5;12
102449676,0;1;5;12
102452454,
102454481,
102456907,0;1;4;5;12
102461799,
102462611,
102470068,
102473791,
102475592,
102479167,0;1
102480457,
102492547,0;1;5;12
102499641,0;1;3;5;8;10;12
102502870,0;1
102512314,
102520411,
102521352,0;1;5;12
102527629,
102531398,
102531667,
102533555,
102534079,
102537102,
102538285,0;1;5;12
102539462,0;1
102542594,
102546761,
102550185,
102554659,0;1
102564068,
102566243,
102570051,
102574479,0;1;5;8;10
102577020,
102577249,
102584253,
102588566,
102590920,0;1
102592283,0;1;5
102594675,0;1
102600870,
102606232,
102609396,
102613773,0;1;5
102624284,
102625524,0;1;5
102642197,
102642736,0;1;5
102648155,
102659482,
102659517,
102662497,0;1;5;12
102669321,0;1;5;8;10;12
102670109,0;1
102670985,0;18
102677537,
102677601,0;1
102680495,
102706018,0;1;2;4;5;9
102706860,
102711640,
102714380,
102718534,
102721752,0;1;2;5
102722545,
102726946,0;1;5
102738753,
102753867,
102754096,
102757006,0;1;5;12
102759825,0;1;3;8;10
102759920,0;1;5
102760082,
102765211,0;1;2;4;5;7;12
102765885,0;1
102779462,
102783752,
102785514,0;1;5;12
102786309,
102795431,0;1
102802854,
102805561,
102809881,
102814434,
102816227,0;1;5;12
102820022,
102821138,0;1;5
102826867,
102827284,
102833272,
102834258,
102840603,0;1
102840627,
102847477,0;1
102850252,0;1
102851322,0;1;5
102851916,
102858409,
102867716,0;1
102869663,0;1;2;3;4;9
102874134,0;1;5;12
102884838,
102887139,0;1;5;12
102890806,
102903645,
102905264,
102908508,
102909620,0;1;2;5
102912055,0;1;2;3;4;6;7;8;9;13;14
102922664,0;1;5;12
102926070,
102927269,
102934897,
102935965,0;1;5;22
102940966,
102950118,
102950885,
102962473,0;1
102975693,0;1
102981846,
102985604,
102991059,
102992602,0;2;3;4
102993963,
102998785,0;1;5;8;12
103002781,0;1
103007946,
103019311,
103026359,0;1;5;12
103038302,
103039100,0;1;5
103044080,0;1;5;12
103044865,0;1
103056776,
103058706,0;1
103068602,
103075662,
103077715,
103077808,0;1
103081472,
103081927,
103086201,0;1;5;12
103089293,
103094820,
103096837,
103098322,0;2;3
103100946,
103105986,
103108366,0;1;5;12
103111157,0;1;8;10
103112122,
103124739,
103125558,0;1;2;3;4;5;6;7;8;9;10;11;13;14;16;17;18;19
103128993,0;1
103130991,
103131384,
103138857,
103141272,0;21
103146052,
103158802,
103162736,0;1
103167416,0;1
103169441,
103170932,0;1
103176082,0;1;5;8;10
103178748,
103180127,0;1;4
103181503,
103181707,
103183017,0;1;2;4;5;11;12
103185333,
103192940,
103195058,
103197579,
103200446,
103207215,0;16
103214204,
103214789,0;1
103215473,0;1;5;12
103226109,
103227536,
103238740,
103239357,
103239784,
103240420,
103253295,0;1;5;12
103253662,0;1
103270092,
103281411,
103282433,0;1;2;3;5;7;8;10;11;12;14
103287032,
103289224,
103289701,0;1;3;4;8
103290986,
103301235,
103307544,
103307623,
103307893,0;1
103314652,0;1
103322969,
103324486,0;1
103326791,
103328923,0;1;2;3;4;6;7;8;9;13;14
103338521,
103338670,0;1
103342971,0;1;2;4;5;7;12
103357721,0;1;2;3;4;5;8;9;10;11;14;19
103361187,0;1;5;12;22
103364160,0;3
103372907,
103374715,
103378684,
103381223,0;1;5;12
103385734,
103387763,
103388195,
103389032,
103397482,
103400591,
103401987,
103406795,
103420328,
103425458,
103434988,
103444495,
103449383,0;1;2;3;4;5;6;7;8;9;11;13;14;19
103450160,0;1;5;12
103452687,
103455590,
103463708,
103465674,
103468177,
103470048,0;1;5;12
103473312,
103474838,
103480547,0;1
103487483,
103492949,0;1;5;12
103493461,
103496855,0;1;2;5;8;12
103498840,0;1
103512148,
103514431,
103515855,
103535046,
103543295,0;1
103547167,
103550050,
103556804,0;1;3;5;8;10;12
103561575,
103573036,0;1;5;12
103573315,
103577259,
103578615,0;1;3;4;8;9;10;14
103578963,
103593164,
103598903,
103599344,
103599866,
103623744,
103627412,0;1;5;20
103628891,
103659264,0;1;3;4;5;8;10;12
103661213,
103669378,0;1;4;5
103671051,0;1;2;4;5;6;9;11;12
103676784,
103681713,
103684452,0;18
103688728,
103691208,
103692695,0;1;5;8;10;12
103696069,0;18
103696608,
103698260,0;22
103698653,0;8
103707491,
103712768,0;1;5;12
103719010,0;1
103720574,0;1
103722167,0;1;2;4;5;7;9;11;12;17;18;22
103731524,
103737205,
103739780,0;1;5;12
103745531,0;1;8
103751134,0;1;2;4;5;8
103753242,0;22
103755381,
103757444,
103762596,
103764724,0;1;3;5;8;10;14
103768582,0;1;3;4;5;8;9;10;12
103769266,
103795348,0;1
103798580,
103799130,0;1;2;3;5;8
103802126,
103824398,
103824748,0;1
103827958,0;1
103835424,
103836567,
103840898,
103841998,0;1;5;12
103847878,0;1;5;12;22
103848746,
103850390,
103851637,
103857302,0;1
103861507,0;22
103878630,0;1;5;12
103883449,0;1;5;10;12
103885795,
103889867,0;1
103897769,0;1
103906035,
103915484,0;1;5;12
103916637,
103924927,
103939546,0;1
103941650,0;1;4;5
103944353,
103949820,
103960559,0;1;4;5;12
103966584,0;1;2;3;4;8;9;14
103975557,0;1;5
103980382,
103992249,
103998064,0;1
104002766,
104005507,
104007913,
104011564,
104013547,0;21
104017510,
104018336,0;1;2;5
104018551,
104020193,0;1;2;5;8;12
104022002,
104041335,
104043470,0;1;5;8
104057466,
104058543,
104063240,0;1;5
104066722,
104067985,0;1;5
104069311,
104070493,0;22
104075304,0;1;5
104075912,
104078998,
104080300,
104080717,0;1;5;12
104087678,0;1
104089059,0;1;5;8;12
104090656,0;1
104092166,
104104607,
104108829,
104109327,0;22
104112791,0;1;5
104114520,
104119116,
104121708,0;1
104123692,
104130549,0;1
104132238,0;1
104138964,
104139304,0;1
104147758,0;18
104147796,0;1
104151336,
104151603,
104153329,
104155769,0;1
104158174,
104159373,
104166161,
104167701,
104168230,0;4;6;11;18
104170992,
104172630,0;1
104179278,
104182290,0;1;5
104185263,0;1;7
104185271,0;1
104187276,
104194184,
104207615,0;1;5;12
104210132,0;1
104221010,0;1;2;8
104221695,0;1;5;12
104236111,
104245181,0;1
104248261,
104253060,
104254166,
104262716,
104274101,
104281837,
104284552,0;1
104287566,0;1
104293018,
104294294,
104299687,
104303351,0;1
104307792,
104314580,0;1;2;5;8;12
104314835,0;1;18
104315107,
104318924,
104319145,0;1;2;3;4;6;8;9
104323510,
104325482,
104333450,0;1
104335853,
104337839,
104338405,0;1
104340192,
104345507,
104348427,
104357473,0;11;16;18;19
104364069,
104368412,
104370578,
104377636,
104379553,
104382311,
104385711,0;1;4
104392884,
104396495,
104399763,
104400098,
104400654,0;1;5
104404311,0;1
104406987,0;1;4;5
104432697,0;1;5;8;9;16;18
104434054,0;1;5;8;10
104438425,
104443354,
104445172,
104447384,
104452521,0;1
104453649,
104470750,
104471684,
104477403,
104479570,
104481442,
104492453,
104493891,
104504188,
104507298,0;1
104519881,0;1;5;12
104520013,
104520867,0;1
104522331,0;1;2;5;12
104529386,0;1
104536853,0;22
104545042,0;1;5
104552354,
104558412,0;1;5
104562295,
104572540,
104576847,
104583413,0;1;5;12
104586617,
104617100,
104620517,4
104622468,0;1;2;4;5;8;9;11;12
104629840,
104631553,
104639510,
104641344,
104643880,0;1
104646444,
104658473,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19
104667306,0;1;5;8;10
104669822,
104683379,
104690537,
104698687,
104703415,0;1
104704961,
104706500,
104714398,0;22
104716096,
104717314,
104724055,0;1;5
104725195,0;1;5;12
104728899,
104733098,
104741079,
104741947,0;1;5;12
104748166,
104752789,0;1
104756723,
104758465,
104760376,
104762067,
104762904,
104764401,
104768806,
104769787,
104777012,
104787511,0;1;5;12
104787720,
104788104,
104803104,
104803138,0;1;5
104805481,
104807374,
104808390,0;1;5;12
104811058,0;1
104814209,
104815903,
104818226,
104822169,
104823301,
104845706,
104847500,0;1;2;3;4;5;7;8;9;10;11;12;13;14;16;17;18;19
104849028,
104849988,0;1;3;8;9;10;14
104852061,0;1;2;5;12
104862951,0;1;2;4;5
104864180,
104877574,0;1
104883796,0;1
104886272,
104891905,0;1
104897116,
104904670,0;1;5;12
104904759,
104909403,
104916189,0;1;2;4;5;9
104920304,
104921597,
104931694,0;1
104938586,
104941722,0;1;5;12
104952430,0;1;16;18
104956089,
104963704,
104970021,0;1;5
104973733,0;1
104974644,
104979239,
104982090,
104983014,
104991775,
104998827,
105004428,
105010716,0;1
105012124,0;1
105013490,0;1;5;12
105014464,0;1;5;17;18;22
105015589,
105022101,0;1;3;4;7;8;9;10
105028223,0;1
105029453,0;1;3;4;8;9
105031544,
105043141,
105043429,0;22
105044733,
105060646,0;1
105063310,
105065741,0;1
105072626,
105077109,
105077192,
105078777,
105083612,0;1;5;12
105087362,
105090723,
105092646,
105097658,0;1
105100092,0;21
105104717,
105108971,
105110493,0;1;5;12
105128549,
105134240,
105135650,0;1;5;8;12
105157057,
105157564,
105158159,0;1;2;3;4;8;9;14
105162062,0;1
105169069,
105180311,
105186156,
105187751,
105192955,
105195314,
105202456,
105203286,
105203900,0;1
105214342,
105217573,
105230507,0;1
105234745,
105236481,
105238348,
105240834,0;1
105247186,0;1;5;12
105252919,
105253302,0;4;6;11;18;19
105267918,
105275551,
105287135,0;1;2;3;4;6;7;8;9;13;14
105291898,
105292497,
105298254,0;1;3;8;10
105306118,
105307131,
105309557,
105311770,0;1;5;12
105315001,
105316068,
105321897,
105323944,0;8;10
105324104,
105328206,
105328520,
105331159,0;1;3;8;10;14
105334094,
105337258,0;1
105365087,
105370690,
105371607,0;22
105375121,
105377654,
105389601,
105392732,
105395329,0;1;2
105395394,
105395769,
105407822,
105410165,
105416347,
105417736,0;1;5
105421981,0;1
105431536,0;1
105432942,
105441131,0;1
105444976,0;1
105445362,
105446683,0;1;2;5
105448081,0;1
105450801,
105458365,
105469493,0;1
105469582,
105475436,
105477696,
105479064,0;1
105481528,
105486120,
105489467,0;1;5;10;12
105492364,0;1
105494988,0;1
105500883,0;1
105501889,
105506516,
105506555,0;16
105508776,
105510195,0;1;2;4
105515438,
105518807,
105528941,
105534294,0;1
105547462,0;1;5;12
105551303,0;1;5;12
105552282,
105562236,
105565845,0;1;5;12
105569488,
105579742,0;1
105596505,0;1;5;12
105599824,
105609939,0;1;3;4;8
105611278,
105617874,0;1
105619740,0;1
105624689,
105627063,
105630285,0;1;2;5;8;10;12
105638195,
105638886,
105645359,0;1
105645927,0;1;2;4
105647019,0;1
105654585,
105657319,
105659273,1
105660830,0;1;5;8;10
105664504,
105664854,
105674862,0;1
105685569,
105687699,0;1;2;5;8;12
105690751,8
105692140,
105692534,0;22
105693317,
105693985,0;1;22
105725960,
105727996,0;1;2;3;4;16;18
105742330,0;1
105746412,0;22
105747023,0;22
105747616,0;1
105750120,
105751464,
105754407,
105763540,
105772159,
105784893,0;18
105784959,0;1
105788821,
105792822,0;8;10
105794603,
105798004,
105803033,0;1
105803273,0;1;5
105817133,
105817361,
105818632,
105820470,
105821216,0;1;4;5
105824664,0;1;2;3;4
105838589,
105840428,
105849508,
105854448,
105860135,
105863056,0;1;5;8;10;12
105866939,
105869536,0;1;5
105871392,
105875120,
105877348,
105878662,0;1;2;3;5;8;12;17
105878987,
105881935,
105884364,
105895386,
105899247,0;1;4;6;19
105907011,0;1
105912343,
105916140,
105917210,0;1;5
105917485,
105921626,0;1
105925210,0;1
105928680,
105932316,
105936617,
105939468,0;1;5;8;10;12
105940708,0;21
105941580,
105949613,
105956967,
105957633,0;1;3
105977080,
105995644,
106002660,
106007779,
106008040,
106023647,0;1
106034046,
106039539,
106043843,
106052877,
106057070,
106060123,0;1;22
106062953,0;1
106065042,
106065356,
106067506,
106068524,
106080489,0;1
106083693,
106088883,
106099407,
106102119,0;1
106110747,0;1
106111030,
106118958,
106127433,
106127538,
106129543,
106130230,
106130278,0;1
106132121,
106135578,
106136446,0;4;6;11;18;19
106136931,
106139825,
106144562,0;22
106150129,
106150153,0;18
106156105,
106158768,
106163758,
106169127,0;1
106174446,0;1;5;12
106175827,0;1
106179509,
106188858,
106194116,
106200785,
106209314,0;1
106211680,
106212641,
106212890,0;1;5;12
106213302,
106214206,
106218046,
106218349,0;1
106220210,0;1
106223499,0;1
106230812,
106233942,
106235610,
106235786,0;1
106239741,
106246683,
106247066,0;1;5;12
106258547,
106258987,
106263954,
106265588,0;1;5;12
106271654,
106272786,
106279295,
106283196,
106284371,
106286229,
106294767,0;1;5;12
106296298,
106306462,0;1;5;12
106308768,
106311088,
106320186,0;1;2;3;4;5;7;8;9;12;17
106334763,
106342854,
106345694,0;1
106352542,0;1;3;5;8;10;14
106355688,0;1;5;12
106361903,
106364989,
106366765,
106367014,
106370890,0;1;5;12
106373548,
106373572,0;1;5;12
106375524,
106377087,0;1;4;5;12
106386079,
106390355,
106396342,
106397172,
106400032,
106402248,0;1;2;4
106405269,0;1;4;6;11;18;19
106408542,0;1;3;7;8;22
106416086,
106421671,0;1;5;22
106423323,
106432335,
106433563,
106440776,0;22
106443836,
106454981,
106456790,0;1;2;3;4;5;8;9;10;12;14
106457424,
106467450,0;1;2;4;5;8;13
106469535,
106488591,
106489824,
106496807,0;1
106498716,
106502676,0;1;2;5;8
106502960,
106508692,
106508972,
106514890,
106525552,0;1;5
106526055,
106529022,0;1;5
106533125,
106533940,0;1;8;10
106534001,0;1
106536453,
106538438,
106540722,0;1
106543135,
106547534,0;1;2;3;4;6;7;8;9;13;18;19
106549507,
106553881,
106554282,0;1;5
106561297,
106581646,
106585886,0;1
106586381,
106591705,
106594668,0;1
106604013,
106605862,
106609534,
106622978,0;1
106626478,0;1
106632417,
106634706,
106636466,
106636988,
106637030,
106639921,0;1
106642953,
106647639,
106653823,
106681134,
106682685,
106688791,
106692826,0;1;5;16
106702972,
106705802,
106711396,
106712525,0;1
106722947,0;1
106728748,0;1
106729540,
106730218,
106739511,
106747194,
106747530,0;1;4
106748422,0;1;5;8;12
106759229,
106759443,
106769436,
106771811,
106783166,
106789150,0;1
106789759,0;1;2;4;8
106795535,0;1;5;12
106800824,
106806383,
106807607,
106809385,0;1;4;5;12
106812188,
106822578,
106823212,0;1
106824433,0;1;5;8;10
106826524,
106835852,
106838361,0;1;7
106843150,
106850229,0;1;5
106857602,
106863901,
106872082,0;1;2;3;4;6;8;9;11;14;19
106872215,
106872944,0;1;3;8;10;14
106874205,0;18
106874629,0;1;5
106875679,
106877702,
106879812,0;1;2;4;5;6;7;9;12;18
106883987,
106888861,
106890123,
106891119,
106897300,
106898201,0;1;3;4;8;9
106899618,
106908929,
106909306,0;1;5;22
106917041,
106925531,
106926488,
106928806,0;1
106930271,
106933953,
106936352,
106936570,0;1
106940248,0;1;2;5;8;12
106943545,
106959020,
106959063,0;1;5;12
106959132,
106963565,
106975371,
106977972,0;20
106986543,
107002753,
107006064,
107008215,0;1;2;5
107008227,
107013053,0;1
107014140,0;16;18
107014701,
107017838,
107019779,
107026284,0;1
107031268,0;1
107031530,
107060168,
107061667,
107068719,
107071617,0;1
107074289,0;18
107085360,0;1
107090192,0;1;4;5
107090628,0;1;2;3;4;5;6;7;8;9;10;11;12;17;18;19
107092224,
107103240,
107114149,0;1;5;12
107114783,
107117280,0;1;5
107128894,
107137929,
107139190,
107145716,0;1;5;22
107153652,8
107158427,
107162605,0;1
107169221,
107175453,
107175810,0;1
107177830,
107178014,0;1;5;12
107178360,0;21
107180252,
107184631,
107191728,
107199801,0;1;2;5;8;12
107202719,0;1
107203206,
107205634,
107206116,0;1;5;12
107206859,
107207337,0;8;10
107209382,
107224734,0;1
107232120,
107233516,
107236697,
107245340,
107251730,
107255637,0;1;2;3;5;8;10;12;14
107257088,
107257794,0;1
107259651,0;1;2;5;8;12;20
107268599,0;1;18
107276436,
107280886,0;18
107282888,0;1;5;12
107289615,0;1
107290041,0;1;2;5;8;12
107296767,
107319409,0;17;18
107325463,
107328151,0;1
107340331,
107345918,0;1
107347926,
107356118,0;1;2;3;4;8;9
107369228,
107370023,
107373310,0;1;5;12
107373425,0;1;5
107376086,
107380482,
107385645,
107390998,0;1;5;8;10;12
107393095,0;1;5;12
107395185,0;1;5;12
107399962,
107401466,
107417204,
107429282,
107434216,
107438848,0;1;5;8;10;12
107442605,0;1;5;12
107445555,0;1;5;12
107446962,
107449600,
107453729,
107455326,
107466147,
107471368,0;1;4;5
107473583,
107482999,
107497016,
107503906,
107507607,
107508784,
107513023,0;1;8;10;11;13;14;16;18
107536124,
107537170,
107549795,
107551068,
107555730,
107561055,0;1;4
107572534,
107573085,
107578189,0;1;5;8;12
107581947,
107585775,0;1;5;12
107599408,
107602686,0;1
107605650,0;16;18
107606929,
107607393,
107613042,
107615783,0;13;14;16
107616228,
107616524,0;1;2;3;4;8;9
107619706,0;1
107623768,
107625316,0;1;2;3;4;5;6;7;8;9;10;11;13;14
107628363,0;1
107631446,
107642650,
107644483,0;1;2;3;4;6;7;8;9;13
107646329,0;1;5;12
107652302,0;1;5
107665433,0;1;2;4;5
107665765,
107672123,
107673847,0;1;4
107679342,
107679983,0;1;5
107683031,
107691056,
107700301,
107706353,
107706842,0;1;5
107709268,
107711304,0;1;5;12
107717368,0;1
107722571,0;1;5
107725112,0;1
107726688,0;1
107727264,
107728063,
107729078,
107731521,0;1
107733152,0;1;5;12
107736327,0;1;5;12
107736898,0;16
107750883,
107751529,
107756412,0;1;5
107761087,0;1
107762225,0;16
107772664,0;1;2;3;4;8
107789548,
107793338,0;1
107795315,0;1;5;12;16;18
107795933,0;1;2;3;4;5;8;10;12;13;14
107797176,
107839334,
107842879,0;1
107870276,0;1;2;4;5;8;9
107875486,
107875536,
107881079,
107890014,
107893250,
107896126,
107908036,0;1;5;8;16;18
107912172,0;1;5
107917652,0;1;5;12
107917989,
107918255,0;1
107922093,
107923387,0;22
107927919,
107928909,0;16;18
107932147,
107955863,0;1
107963199,
107971542,0;1;18
107977831,
107982305,0;1;3;4;8;9;10;14
107983837,
107984815,
107984946,
107986041,
107990413,
107993442,
107995332,
107999211,
107999845,
108001015,0;1;5;12
108004796,
108019980,
108024478,
108026597,
108027987,0;21
108035013,
108044122,0;1;5;12
108046493,
108047248,
108054734,
108056361,
108056989,0;1;5
108059756,0;1
108064312,
108065848,
108070947,0;1;5;12
108071206,
108080459,0;1;5;12
108085152,
108097276,0;1
108105809,
108110913,0;1;5;12
108116902,0;1;16;18
108122555,0;1
108125863,0;1
108129101,0;1;5
108129674,0;1;5;10;12
108130946,
108132761,
108140701,
108144024,
108147837,0;1;5;12
108149999,0;1;5
108150915,
108151010,
108161692,
108165281,
108172847,0;1
108175993,
108190174,0;1;2;5;8;12
108194960,
108195608,0;1;5;12
108196104,
108201776,
108205319,
108211642,0;1
108217060,0;1
108221910,0;22
108222828,
108223784,
108227890,0;1;8;10
108235773,
108239401,
108246423,
108261060,
108267570,
108268631,
108280381,
108282558,0;1;5;12
108283272,
108295903,
108298791,0;1;5;12
108302459,
108306843,0;1;2;3;4;5;6;8;9;10;11;14
108308013,
108308136,
108308816,0;1;5;12
108310210,
108310754,
108310892,0;1;5;12
108313452,0;1;2;5;8;12
108315056,
108317718,0;1
108322461,0;1;5;8;12
108323296,
108331264,
108332808,0;1
108333184,0;1;4;5;7;17
108336895,0;1;2;5;8;10;12
108340216,
108341644,
108342129,
108353200,0;1;3;5;8;12
108365947,
108367462,
108370931,
108386478,0;1
108386600,
108391038,
108392865,
108394071,
108395873,
108396989,
108400529,
108420515,0;1
108420959,
108426173,
108431243,0;1
108436670,
108443413,
108444547,
108456668,
108458957,0;22
108460352,0;1
108462610,
108477176,
108477942,
108484637,0;1;5;8;12
108487083,
108491851,0;1;5;8;12
108505813,0;1;16;18;22
108510536,
